Label,Symptoms
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, flat or sunken lesions, changes in the size, shape, or color of moles, bleeding or scabbing, raised red spots, waxy or scar-like areas, open sores, pink growths, shiny bumps, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"changes in the size, shape, or color of moles, flat or sunken lesions, waxy or scar-like areas, pink growths, Scaly or crusty growths, bleeding or scabbing, raised red spots, red patches, shiny bumps, open sores"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, shiny bumps, raised red spots, red patches, Scaly or crusty growths, flat or sunken lesions, waxy or scar-like areas, open sores, changes in the size, shape, or color of moles, pink growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"red patches, pink growths, raised red spots, changes in the size, shape, or color of moles, open sores, flat or sunken lesions, Scaly or crusty growths, shiny bumps, waxy or scar-like areas, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, waxy or scar-like areas, raised red spots, pink growths, flat or sunken lesions, Scaly or crusty growths, open sores, shiny bumps, changes in the size, shape, or color of moles, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"red patches, waxy or scar-like areas, Scaly or crusty growths, open sores, bleeding or scabbing, changes in the size, shape, or color of moles, shiny bumps, raised red spots, flat or sunken lesions, pink growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, Scaly or crusty growths, flat or sunken lesions, pink growths, waxy or scar-like areas, changes in the size, shape, or color of moles, bleeding or scabbing, raised red spots, shiny bumps, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, changes in the size, shape, or color of moles, bleeding or scabbing, flat or sunken lesions, waxy or scar-like areas, open sores, shiny bumps, red patches, pink growths, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, shiny bumps, waxy or scar-like areas, red patches, changes in the size, shape, or color of moles, raised red spots, flat or sunken lesions, open sores, pink growths, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, red patches, bleeding or scabbing, waxy or scar-like areas, raised red spots, changes in the size, shape, or color of moles, shiny bumps, flat or sunken lesions, pink growths, Scaly or crusty growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"pink growths, changes in the size, shape, or color of moles, shiny bumps, raised red spots, waxy or scar-like areas, Scaly or crusty growths, open sores, bleeding or scabbing, red patches, flat or sunken lesions"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, flat or sunken lesions, changes in the size, shape, or color of moles, open sores, pink growths, shiny bumps, Scaly or crusty growths, raised red spots, waxy or scar-like areas, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"shiny bumps, bleeding or scabbing, raised red spots, red patches, open sores, pink growths, Scaly or crusty growths, changes in the size, shape, or color of moles, flat or sunken lesions, waxy or scar-like areas"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, pink growths, red patches, waxy or scar-like areas, open sores, shiny bumps, raised red spots, changes in the size, shape, or color of moles, Scaly or crusty growths, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, flat or sunken lesions, changes in the size, shape, or color of moles, Scaly or crusty growths, open sores, pink growths, shiny bumps, waxy or scar-like areas, raised red spots, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, Scaly or crusty growths, shiny bumps, open sores, flat or sunken lesions, changes in the size, shape, or color of moles, pink growths, raised red spots, red patches, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, open sores, flat or sunken lesions, Scaly or crusty growths, raised red spots, changes in the size, shape, or color of moles, shiny bumps, pink growths, red patches, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"red patches, pink growths, Scaly or crusty growths, changes in the size, shape, or color of moles, bleeding or scabbing, open sores, waxy or scar-like areas, flat or sunken lesions, shiny bumps, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, red patches, flat or sunken lesions, Scaly or crusty growths, changes in the size, shape, or color of moles, shiny bumps, raised red spots, waxy or scar-like areas, pink growths, open sores"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, open sores, red patches, flat or sunken lesions, pink growths, bleeding or scabbing, Scaly or crusty growths, changes in the size, shape, or color of moles, shiny bumps, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, bleeding or scabbing, Scaly or crusty growths, shiny bumps, waxy or scar-like areas, red patches, raised red spots, open sores, changes in the size, shape, or color of moles, pink growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, Scaly or crusty growths, waxy or scar-like areas, bleeding or scabbing, open sores, red patches, changes in the size, shape, or color of moles, pink growths, raised red spots, shiny bumps"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"red patches, raised red spots, shiny bumps, Scaly or crusty growths, flat or sunken lesions, bleeding or scabbing, waxy or scar-like areas, open sores, pink growths, changes in the size, shape, or color of moles"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, pink growths, open sores, waxy or scar-like areas, flat or sunken lesions, shiny bumps, raised red spots, changes in the size, shape, or color of moles, Scaly or crusty growths, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, changes in the size, shape, or color of moles, pink growths, flat or sunken lesions, red patches, shiny bumps, bleeding or scabbing, raised red spots, Scaly or crusty growths, open sores"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"shiny bumps, Scaly or crusty growths, bleeding or scabbing, open sores, pink growths, raised red spots, changes in the size, shape, or color of moles, red patches, flat or sunken lesions, waxy or scar-like areas"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, changes in the size, shape, or color of moles, pink growths, waxy or scar-like areas, shiny bumps, open sores, flat or sunken lesions, bleeding or scabbing, raised red spots, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, pink growths, Scaly or crusty growths, waxy or scar-like areas, bleeding or scabbing, changes in the size, shape, or color of moles, raised red spots, shiny bumps, red patches, flat or sunken lesions"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, raised red spots, Scaly or crusty growths, waxy or scar-like areas, red patches, flat or sunken lesions, changes in the size, shape, or color of moles, pink growths, bleeding or scabbing, shiny bumps"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, shiny bumps, raised red spots, changes in the size, shape, or color of moles, red patches, flat or sunken lesions, bleeding or scabbing, pink growths, waxy or scar-like areas, open sores"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"raised red spots, open sores, red patches, Scaly or crusty growths, pink growths, waxy or scar-like areas, shiny bumps, changes in the size, shape, or color of moles, flat or sunken lesions, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, bleeding or scabbing, changes in the size, shape, or color of moles, red patches, flat or sunken lesions, open sores, pink growths, shiny bumps, Scaly or crusty growths, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"changes in the size, shape, or color of moles, flat or sunken lesions, Scaly or crusty growths, waxy or scar-like areas, pink growths, shiny bumps, red patches, bleeding or scabbing, raised red spots, open sores"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"pink growths, open sores, flat or sunken lesions, bleeding or scabbing, raised red spots, Scaly or crusty growths, waxy or scar-like areas, red patches, changes in the size, shape, or color of moles, shiny bumps"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, waxy or scar-like areas, raised red spots, open sores, pink growths, flat or sunken lesions, shiny bumps, Scaly or crusty growths, changes in the size, shape, or color of moles, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"bleeding or scabbing, changes in the size, shape, or color of moles, pink growths, Scaly or crusty growths, red patches, open sores, flat or sunken lesions, shiny bumps, waxy or scar-like areas, raised red spots"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"pink growths, shiny bumps, Scaly or crusty growths, raised red spots, flat or sunken lesions, red patches, changes in the size, shape, or color of moles, open sores, waxy or scar-like areas, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, Scaly or crusty growths, flat or sunken lesions, open sores, bleeding or scabbing, shiny bumps, raised red spots, pink growths, changes in the size, shape, or color of moles, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"raised red spots, red patches, shiny bumps, waxy or scar-like areas, flat or sunken lesions, pink growths, open sores, changes in the size, shape, or color of moles, bleeding or scabbing, Scaly or crusty growths"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, bleeding or scabbing, raised red spots, waxy or scar-like areas, red patches, Scaly or crusty growths, shiny bumps, changes in the size, shape, or color of moles, pink growths, flat or sunken lesions"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"raised red spots, pink growths, bleeding or scabbing, changes in the size, shape, or color of moles, Scaly or crusty growths, open sores, flat or sunken lesions, red patches, shiny bumps, waxy or scar-like areas"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"flat or sunken lesions, red patches, raised red spots, shiny bumps, pink growths, Scaly or crusty growths, changes in the size, shape, or color of moles, bleeding or scabbing, open sores, waxy or scar-like areas"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, flat or sunken lesions, waxy or scar-like areas, open sores, pink growths, raised red spots, changes in the size, shape, or color of moles, red patches, shiny bumps, bleeding or scabbing"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"pink growths, shiny bumps, raised red spots, bleeding or scabbing, Scaly or crusty growths, changes in the size, shape, or color of moles, flat or sunken lesions, red patches, waxy or scar-like areas, open sores"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"open sores, pink growths, waxy or scar-like areas, red patches, Scaly or crusty growths, changes in the size, shape, or color of moles, raised red spots, bleeding or scabbing, flat or sunken lesions, shiny bumps"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, pink growths, changes in the size, shape, or color of moles, open sores, raised red spots, shiny bumps, waxy or scar-like areas, bleeding or scabbing, flat or sunken lesions, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"changes in the size, shape, or color of moles, flat or sunken lesions, shiny bumps, pink growths, red patches, raised red spots, Scaly or crusty growths, open sores, bleeding or scabbing, waxy or scar-like areas"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, open sores, red patches, raised red spots, flat or sunken lesions, waxy or scar-like areas, bleeding or scabbing, pink growths, shiny bumps, changes in the size, shape, or color of moles"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, open sores, Scaly or crusty growths, pink growths, changes in the size, shape, or color of moles, shiny bumps, bleeding or scabbing, raised red spots, red patches, flat or sunken lesions"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"Scaly or crusty growths, shiny bumps, waxy or scar-like areas, raised red spots, bleeding or scabbing, pink growths, open sores, red patches, changes in the size, shape, or color of moles, flat or sunken lesions"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, open sores, flat or sunken lesions, Scaly or crusty growths, bleeding or scabbing, pink growths, changes in the size, shape, or color of moles, shiny bumps, raised red spots, red patches"
Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions,"waxy or scar-like areas, bleeding or scabbing, flat or sunken lesions, pink growths, open sores, raised red spots, Scaly or crusty growths, shiny bumps, red patches, changes in the size, shape, or color of moles"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, oozing and crusting, raw, sensitive, swollen skin, dark circles under the eyes, Itchy skin, areas of discoloration, red to brownish-gray patches, small raised bumps"
Atopic Dermatitis Photos,"red to brownish-gray patches, areas of discoloration, thickened, cracked, or scaly skin, Itchy skin, dark circles under the eyes, raw, sensitive, swollen skin, small raised bumps, oozing and crusting"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, dark circles under the eyes, thickened, cracked, or scaly skin, areas of discoloration, oozing and crusting, Itchy skin, red to brownish-gray patches, small raised bumps"
Atopic Dermatitis Photos,"dark circles under the eyes, thickened, cracked, or scaly skin, Itchy skin, red to brownish-gray patches, areas of discoloration, small raised bumps, raw, sensitive, swollen skin, oozing and crusting"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, areas of discoloration, dark circles under the eyes, raw, sensitive, swollen skin, oozing and crusting, Itchy skin, small raised bumps, red to brownish-gray patches"
Atopic Dermatitis Photos,"oozing and crusting, raw, sensitive, swollen skin, small raised bumps, dark circles under the eyes, thickened, cracked, or scaly skin, Itchy skin, areas of discoloration, red to brownish-gray patches"
Atopic Dermatitis Photos,"oozing and crusting, small raised bumps, dark circles under the eyes, areas of discoloration, Itchy skin, red to brownish-gray patches, thickened, cracked, or scaly skin, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, areas of discoloration, thickened, cracked, or scaly skin, red to brownish-gray patches, Itchy skin, small raised bumps, dark circles under the eyes, oozing and crusting"
Atopic Dermatitis Photos,"small raised bumps, thickened, cracked, or scaly skin, dark circles under the eyes, areas of discoloration, red to brownish-gray patches, Itchy skin, raw, sensitive, swollen skin, oozing and crusting"
Atopic Dermatitis Photos,"areas of discoloration, thickened, cracked, or scaly skin, small raised bumps, dark circles under the eyes, Itchy skin, raw, sensitive, swollen skin, oozing and crusting, red to brownish-gray patches"
Atopic Dermatitis Photos,"Itchy skin, thickened, cracked, or scaly skin, red to brownish-gray patches, dark circles under the eyes, raw, sensitive, swollen skin, areas of discoloration, small raised bumps, oozing and crusting"
Atopic Dermatitis Photos,"small raised bumps, dark circles under the eyes, red to brownish-gray patches, areas of discoloration, Itchy skin, thickened, cracked, or scaly skin, oozing and crusting, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"dark circles under the eyes, areas of discoloration, red to brownish-gray patches, thickened, cracked, or scaly skin, small raised bumps, raw, sensitive, swollen skin, Itchy skin, oozing and crusting"
Atopic Dermatitis Photos,"areas of discoloration, Itchy skin, dark circles under the eyes, thickened, cracked, or scaly skin, small raised bumps, red to brownish-gray patches, raw, sensitive, swollen skin, oozing and crusting"
Atopic Dermatitis Photos,"small raised bumps, dark circles under the eyes, Itchy skin, red to brownish-gray patches, thickened, cracked, or scaly skin, oozing and crusting, areas of discoloration, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"small raised bumps, oozing and crusting, dark circles under the eyes, Itchy skin, red to brownish-gray patches, areas of discoloration, thickened, cracked, or scaly skin, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"red to brownish-gray patches, areas of discoloration, dark circles under the eyes, oozing and crusting, thickened, cracked, or scaly skin, Itchy skin, raw, sensitive, swollen skin, small raised bumps"
Atopic Dermatitis Photos,"red to brownish-gray patches, dark circles under the eyes, small raised bumps, Itchy skin, oozing and crusting, raw, sensitive, swollen skin, thickened, cracked, or scaly skin, areas of discoloration"
Atopic Dermatitis Photos,"Itchy skin, raw, sensitive, swollen skin, dark circles under the eyes, red to brownish-gray patches, areas of discoloration, thickened, cracked, or scaly skin, small raised bumps, oozing and crusting"
Atopic Dermatitis Photos,"red to brownish-gray patches, small raised bumps, thickened, cracked, or scaly skin, Itchy skin, areas of discoloration, dark circles under the eyes, oozing and crusting, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"areas of discoloration, raw, sensitive, swollen skin, dark circles under the eyes, small raised bumps, oozing and crusting, red to brownish-gray patches, Itchy skin, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, oozing and crusting, areas of discoloration, small raised bumps, red to brownish-gray patches, raw, sensitive, swollen skin, dark circles under the eyes, Itchy skin"
Atopic Dermatitis Photos,"dark circles under the eyes, small raised bumps, raw, sensitive, swollen skin, Itchy skin, oozing and crusting, areas of discoloration, thickened, cracked, or scaly skin, red to brownish-gray patches"
Atopic Dermatitis Photos,"red to brownish-gray patches, oozing and crusting, raw, sensitive, swollen skin, thickened, cracked, or scaly skin, small raised bumps, areas of discoloration, dark circles under the eyes, Itchy skin"
Atopic Dermatitis Photos,"red to brownish-gray patches, areas of discoloration, thickened, cracked, or scaly skin, small raised bumps, raw, sensitive, swollen skin, Itchy skin, dark circles under the eyes, oozing and crusting"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, areas of discoloration, Itchy skin, dark circles under the eyes, small raised bumps, thickened, cracked, or scaly skin, red to brownish-gray patches, oozing and crusting"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, raw, sensitive, swollen skin, dark circles under the eyes, small raised bumps, red to brownish-gray patches, areas of discoloration, oozing and crusting, Itchy skin"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, raw, sensitive, swollen skin, oozing and crusting, Itchy skin, red to brownish-gray patches, small raised bumps, areas of discoloration, dark circles under the eyes"
Atopic Dermatitis Photos,"red to brownish-gray patches, small raised bumps, areas of discoloration, oozing and crusting, Itchy skin, raw, sensitive, swollen skin, dark circles under the eyes, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"small raised bumps, dark circles under the eyes, Itchy skin, areas of discoloration, red to brownish-gray patches, raw, sensitive, swollen skin, oozing and crusting, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, small raised bumps, raw, sensitive, swollen skin, dark circles under the eyes, oozing and crusting, red to brownish-gray patches, areas of discoloration, Itchy skin"
Atopic Dermatitis Photos,"oozing and crusting, Itchy skin, dark circles under the eyes, red to brownish-gray patches, thickened, cracked, or scaly skin, areas of discoloration, raw, sensitive, swollen skin, small raised bumps"
Atopic Dermatitis Photos,"red to brownish-gray patches, Itchy skin, areas of discoloration, small raised bumps, oozing and crusting, thickened, cracked, or scaly skin, raw, sensitive, swollen skin, dark circles under the eyes"
Atopic Dermatitis Photos,"small raised bumps, Itchy skin, oozing and crusting, thickened, cracked, or scaly skin, dark circles under the eyes, areas of discoloration, red to brownish-gray patches, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, raw, sensitive, swollen skin, areas of discoloration, red to brownish-gray patches, oozing and crusting, dark circles under the eyes, Itchy skin, small raised bumps"
Atopic Dermatitis Photos,"dark circles under the eyes, raw, sensitive, swollen skin, Itchy skin, oozing and crusting, thickened, cracked, or scaly skin, red to brownish-gray patches, small raised bumps, areas of discoloration"
Atopic Dermatitis Photos,"Itchy skin, oozing and crusting, raw, sensitive, swollen skin, dark circles under the eyes, small raised bumps, thickened, cracked, or scaly skin, red to brownish-gray patches, areas of discoloration"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, oozing and crusting, areas of discoloration, small raised bumps, dark circles under the eyes, thickened, cracked, or scaly skin, Itchy skin, red to brownish-gray patches"
Atopic Dermatitis Photos,"dark circles under the eyes, raw, sensitive, swollen skin, thickened, cracked, or scaly skin, areas of discoloration, Itchy skin, oozing and crusting, small raised bumps, red to brownish-gray patches"
Atopic Dermatitis Photos,"red to brownish-gray patches, thickened, cracked, or scaly skin, oozing and crusting, Itchy skin, dark circles under the eyes, small raised bumps, raw, sensitive, swollen skin, areas of discoloration"
Atopic Dermatitis Photos,"Itchy skin, areas of discoloration, small raised bumps, red to brownish-gray patches, raw, sensitive, swollen skin, oozing and crusting, dark circles under the eyes, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"small raised bumps, dark circles under the eyes, areas of discoloration, thickened, cracked, or scaly skin, oozing and crusting, red to brownish-gray patches, raw, sensitive, swollen skin, Itchy skin"
Atopic Dermatitis Photos,"small raised bumps, areas of discoloration, Itchy skin, raw, sensitive, swollen skin, red to brownish-gray patches, dark circles under the eyes, thickened, cracked, or scaly skin, oozing and crusting"
Atopic Dermatitis Photos,"red to brownish-gray patches, dark circles under the eyes, areas of discoloration, small raised bumps, Itchy skin, raw, sensitive, swollen skin, oozing and crusting, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"oozing and crusting, red to brownish-gray patches, small raised bumps, Itchy skin, raw, sensitive, swollen skin, dark circles under the eyes, areas of discoloration, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"small raised bumps, areas of discoloration, red to brownish-gray patches, oozing and crusting, dark circles under the eyes, thickened, cracked, or scaly skin, raw, sensitive, swollen skin, Itchy skin"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, areas of discoloration, red to brownish-gray patches, Itchy skin, raw, sensitive, swollen skin, dark circles under the eyes, oozing and crusting, small raised bumps"
Atopic Dermatitis Photos,"oozing and crusting, red to brownish-gray patches, small raised bumps, areas of discoloration, Itchy skin, raw, sensitive, swollen skin, dark circles under the eyes, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"red to brownish-gray patches, areas of discoloration, raw, sensitive, swollen skin, dark circles under the eyes, Itchy skin, oozing and crusting, small raised bumps, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, oozing and crusting, thickened, cracked, or scaly skin, dark circles under the eyes, areas of discoloration, small raised bumps, Itchy skin, red to brownish-gray patches"
Atopic Dermatitis Photos,"Itchy skin, small raised bumps, oozing and crusting, areas of discoloration, red to brownish-gray patches, raw, sensitive, swollen skin, dark circles under the eyes, thickened, cracked, or scaly skin"
Atopic Dermatitis Photos,"areas of discoloration, small raised bumps, Itchy skin, thickened, cracked, or scaly skin, red to brownish-gray patches, oozing and crusting, dark circles under the eyes, raw, sensitive, swollen skin"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, dark circles under the eyes, thickened, cracked, or scaly skin, areas of discoloration, red to brownish-gray patches, oozing and crusting, small raised bumps, Itchy skin"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, raw, sensitive, swollen skin, dark circles under the eyes, oozing and crusting, small raised bumps, red to brownish-gray patches, areas of discoloration, Itchy skin"
Atopic Dermatitis Photos,"dark circles under the eyes, raw, sensitive, swollen skin, areas of discoloration, oozing and crusting, thickened, cracked, or scaly skin, small raised bumps, red to brownish-gray patches, Itchy skin"
Atopic Dermatitis Photos,"raw, sensitive, swollen skin, Itchy skin, small raised bumps, thickened, cracked, or scaly skin, dark circles under the eyes, areas of discoloration, oozing and crusting, red to brownish-gray patches"
Atopic Dermatitis Photos,"red to brownish-gray patches, thickened, cracked, or scaly skin, Itchy skin, oozing and crusting, dark circles under the eyes, small raised bumps, raw, sensitive, swollen skin, areas of discoloration"
Atopic Dermatitis Photos,"thickened, cracked, or scaly skin, areas of discoloration, small raised bumps, raw, sensitive, swollen skin, Itchy skin, red to brownish-gray patches, oozing and crusting, dark circles under the eyes"
Atopic Dermatitis Photos,"red to brownish-gray patches, thickened, cracked, or scaly skin, areas of discoloration, small raised bumps, dark circles under the eyes, oozing and crusting, raw, sensitive, swollen skin, Itchy skin"
Atopic Dermatitis Photos,"small raised bumps, areas of discoloration, Itchy skin, red to brownish-gray patches, oozing and crusting, raw, sensitive, swollen skin, thickened, cracked, or scaly skin, dark circles under the eyes"
Atopic Dermatitis Photos,"red to brownish-gray patches, raw, sensitive, swollen skin, small raised bumps, thickened, cracked, or scaly skin, areas of discoloration, Itchy skin, oozing and crusting, dark circles under the eyes"
Atopic Dermatitis Photos,"small raised bumps, red to brownish-gray patches, dark circles under the eyes, thickened, cracked, or scaly skin, oozing and crusting, Itchy skin, raw, sensitive, swollen skin, areas of discoloration"
Bullous Disease Photos,"milia (tiny white bumps), redness around the blisters, skin erosions, crusting, scarring, itching, pain, skin peeling, ulcers, Blisters, fluid-filled sacs"
Bullous Disease Photos,"skin erosions, scarring, ulcers, Blisters, fluid-filled sacs, crusting, itching, redness around the blisters, milia (tiny white bumps), pain, skin peeling"
Bullous Disease Photos,"redness around the blisters, skin peeling, fluid-filled sacs, ulcers, crusting, skin erosions, itching, pain, Blisters, scarring, milia (tiny white bumps)"
Bullous Disease Photos,"itching, pain, redness around the blisters, skin peeling, skin erosions, milia (tiny white bumps), crusting, scarring, Blisters, ulcers, fluid-filled sacs"
Bullous Disease Photos,"itching, scarring, ulcers, redness around the blisters, crusting, Blisters, pain, skin erosions, milia (tiny white bumps), fluid-filled sacs, skin peeling"
Bullous Disease Photos,"scarring, ulcers, pain, crusting, milia (tiny white bumps), itching, skin erosions, fluid-filled sacs, skin peeling, Blisters, redness around the blisters"
Bullous Disease Photos,"pain, redness around the blisters, skin peeling, crusting, Blisters, fluid-filled sacs, scarring, skin erosions, milia (tiny white bumps), itching, ulcers"
Bullous Disease Photos,"crusting, ulcers, scarring, skin erosions, redness around the blisters, pain, skin peeling, itching, milia (tiny white bumps), fluid-filled sacs, Blisters"
Bullous Disease Photos,"milia (tiny white bumps), ulcers, Blisters, redness around the blisters, skin peeling, pain, itching, skin erosions, crusting, fluid-filled sacs, scarring"
